MobCash ResourcePack - prefixy rang LuckPerms

Format: GRUPA | KOD | SYMBOL | KOMENDA LUCKPERMS
Uwaga: symbol musi zostac wklejony jako znak, a nie tekst \\uE000.
--------------------------------------------------------------------------------
admin | KOD: \uE06A | SYMBOL:  | /lp group admin meta setprefix 100 "&f &r"
bogacz | KOD: \uE06B | SYMBOL:  | /lp group bogacz meta setprefix 100 "&f &r"
boss | KOD: \uE06C | SYMBOL:  | /lp group boss meta setprefix 100 "&f &r"
ceo | KOD: \uE06D | SYMBOL:  | /lp group ceo meta setprefix 100 "&f &r"
chat.m | KOD: \uE06E | SYMBOL:  | /lp group chat.m meta setprefix 100 "&f &r"
danger | KOD: \uE06F | SYMBOL:  | /lp group danger meta setprefix 100 "&f &r"
dev | KOD: \uE070 | SYMBOL:  | /lp group dev meta setprefix 100 "&f &r"
discord | KOD: \uE071 | SYMBOL:  | /lp group discord meta setprefix 100 "&f &r"
farmer | KOD: \uE072 | SYMBOL:  | /lp group farmer meta setprefix 100 "&f &r"
friend | KOD: \uE073 | SYMBOL:  | /lp group friend meta setprefix 100 "&f &r"
gracz | KOD: \uE074 | SYMBOL:  | /lp group gracz meta setprefix 100 "&f &r"
gvip | KOD: \uE075 | SYMBOL:  | /lp group gvip meta setprefix 100 "&f &r"
h.admin | KOD: \uE076 | SYMBOL:  | /lp group h.admin meta setprefix 100 "&f &r"
helper | KOD: \uE077 | SYMBOL:  | /lp group helper meta setprefix 100 "&f &r"
jr.adm | KOD: \uE078 | SYMBOL:  | /lp group jr.adm meta setprefix 100 "&f &r"
jr.mod | KOD: \uE079 | SYMBOL:  | /lp group jr.mod meta setprefix 100 "&f &r"
king | KOD: \uE07A | SYMBOL:  | /lp group king meta setprefix 100 "&f &r"
master | KOD: \uE07B | SYMBOL:  | /lp group master meta setprefix 100 "&f &r"
media | KOD: \uE07C | SYMBOL:  | /lp group media meta setprefix 100 "&f &r"
m.media | KOD: \uE07D | SYMBOL:  | /lp group m.media meta setprefix 100 "&f &r"
mod | KOD: \uE07E | SYMBOL:  | /lp group mod meta setprefix 100 "&f &r"
mvip | KOD: \uE07F | SYMBOL:  | /lp group mvip meta setprefix 100 "&f &r"
ninja | KOD: \uE080 | SYMBOL:  | /lp group ninja meta setprefix 100 "&f &r"
opiekun | KOD: \uE081 | SYMBOL:  | /lp group opiekun meta setprefix 100 "&f &r"
partner | KOD: \uE082 | SYMBOL:  | /lp group partner meta setprefix 100 "&f &r"
owner | KOD: \uE083 | SYMBOL:  | /lp group owner meta setprefix 100 "&f &r"
space | KOD: \uE084 | SYMBOL:  | /lp group space meta setprefix 100 "&f &r"
sponsor | KOD: \uE085 | SYMBOL:  | /lp group sponsor meta setprefix 100 "&f &r"
sr.adm | KOD: \uE086 | SYMBOL:  | /lp group sr.adm meta setprefix 100 "&f &r"
sr.mod | KOD: \uE087 | SYMBOL:  | /lp group sr.mod meta setprefix 100 "&f &r"
support | KOD: \uE088 | SYMBOL:  | /lp group support meta setprefix 100 "&f &r"
svip | KOD: \uE089 | SYMBOL:  | /lp group svip meta setprefix 100 "&f &r"
test.helper | KOD: \uE08A | SYMBOL:  | /lp group test.helper meta setprefix 100 "&f &r"
test.sup | KOD: \uE08B | SYMBOL:  | /lp group test.sup meta setprefix 100 "&f &r"
tester | KOD: \uE08C | SYMBOL:  | /lp group tester meta setprefix 100 "&f &r"
tworca | KOD: \uE08D | SYMBOL:  | /lp group tworca meta setprefix 100 "&f &r"
uvip | KOD: \uE08E | SYMBOL:  | /lp group uvip meta setprefix 100 "&f &r"
vceo | KOD: \uE08F | SYMBOL:  | /lp group vceo meta setprefix 100 "&f &r"
vip | KOD: \uE090 | SYMBOL:  | /lp group vip meta setprefix 100 "&f &r"
vroot | KOD: \uE091 | SYMBOL:  | /lp group vroot meta setprefix 100 "&f &r"
wizard | KOD: \uE092 | SYMBOL:  | /lp group wizard meta setprefix 100 "&f &r"
